,#NAME?,,,,,,,,,,,,,,,,,Assembly,Mandal,Panchayat,,Year,TDP,YSRCP,JSP,
,,,,,,,,,,,,,,,,,,Tuni,Prathipadu,Bavuruvaka,,2024,#N/A,0,0,
,,,,,,,,,,,,,,,,,,Prathipadu,Rowthulapudi,Buradakota,,2019,54.15%,34.44%,1.04%,
,,Assembly,Prathipadu,,Mandal,Prathipadu,,Panchayat,Buradakota,,,,,,,,,Pithapuram,Sankhavaram,Chinasankarlapudi,,2014,44.24%,9.91%,0.00%,
,,,,,,,,,,,,,,,,,,Kakinada Rural,Yeleswaram,Chintaluru,,,,,,
,Current Sarpanch,,Chinthala Chinnalamma - 9493461257,,Party,,,,TDP - Current Position,,,,,,,,,Peddapuram,Yeleswaram Town,Dharmavaram,,,,,,
,,,,,,,,,,,,,,,,,,Kakinada Urban,,Gajjanapudi,,,,,,
,Demographics,,,,,,Prominent Castes,,,,,,,,,,,Jaggampeta,,Gokavaram,,,,,,
,,,,,,,,,,,,,,,,,,,,Lampakalova,,,,,,
,#NAME?,,,,,,S No.,Caste,,Voters,Inclination,,,,,,,,,Pandavulapalem,,,,,,
,Age,,Male,,Female,,1,Valmiki,,259,,,,,,,,,,Peda Sankarlapudi,,,,,,
,18-24,,33,,20,,2,K.Kapu,,257,,,,,,,,,,Peddipalem,,,,,,
,25-44,,155,,165,,3,K.Dora,,200,,,,,,,,,,Pothuluru,,,,,,
,45-59,,55,,75,,4,Kapu,,10,,,,,,,,,,Prathipadu,,,,,,
,60+,,25,,29,,5,Yadava,,6,,,,,,,,,,Rachapalle,,,,,,
,Total,,268,,289,,6,Others BCs,,4,,,,,,,,,,Rowthulapalem,,,,,,
,Cohort Groups,,"1.paddy farming
 2.cashew farming",,,,7,Others OCs,,4,,,,,,,,,,Sarabhavaram,,,,,,
,,,,,,,8,#N/A,,#N/A,,,,,,,,,,T Rayavaram,,,,,,
,,,,,,,9,#N/A,,#N/A,,,,,,,,,,U.Jagannadhapuram,,,,,,
,,,,,,,10,#N/A,,#N/A,,,,,,,,,,Uttarakanchi,,,,,,
,Retro,,,,,,,,,,,,,,,,,,,Vakapalle,,,,,,
,,,,,,,,,,,,,,,,,,,,Venkatanagaram,,,,,,
